species,year,season,prey.species,prey.sex,prey.age,prey.mass,prey.size,edible.biomass
leopard,2014,dry,Bushbuck,female,subadult,25.9,medium,20.7
leopard,2014,dry,Bushbuck,female,adult,37.0,medium,29.6
leopard,2015,dry,Bushbuck,female,adult,37.0,medium,29.6
leopard,2015,dry,Bushbuck,female,adult,37.0,medium,29.6
leopard,2014,dry,Bushbuck,female,subadult,25.9,medium,20.7
leopard,2015,wet,Bushbuck,female,adult,37.0,medium,29.6
leopard,2014,wet,Bushbuck,female,adult,37.0,medium,29.6
leopard,2015,wet,Bushbuck,female,subadult,25.9,medium,20.7
leopard,2015,wet,Bushbuck,female,adult,37.0,medium,29.6
leopard,2013,wet,Bushbuck,female,adult,37.0,medium,29.6
leopard,2015,wet,Bushbuck,female,adult,37.0,medium,29.6
leopard,2015,wet,Bushbuck,female,adult,37.0,medium,29.6
leopard,2013,wet,Bushbuck,female,subadult,25.9,medium,20.7
leopard,2015,wet,Bushbuck,female,subadult,25.9,medium,20.7
leopard,2014,wet,Bushbuck,female,adult,37.0,medium,29.6
leopard,2015,wet,Bushbuck,female,subadult,25.9,medium,20.7
leopard,2014,wet,Bushbuck,female,adult,37.0,medium,29.6
leopard,2015,wet,Bushbuck,female,adult,37.0,medium,29.6
leopard,2014,wet,Bushbuck,female,subadult,25.9,medium,20.7
leopard,2015,wet,Bushbuck,female,subadult,25.9,medium,20.7
leopard,2015,wet,Bushbuck,female,adult,37.0,medium,29.6
leopard,2014,wet,Bushbuck,female,adult,37.0,medium,29.6
leopard,2015,wet,Bushbuck,female,adult,37.0,medium,29.6
leopard,2015,wet,Bushbuck,female,adult,37.0,medium,29.6
leopard,2015,wet,Bushbuck,female,subadult,25.9,medium,20.7
leopard,2015,wet,Bushbuck,female,adult,37.0,medium,29.6
leopard,2014,wet,Bushbuck,female,adult,37.0,medium,29.6
leopard,2013,wet,Bushbuck,female,adult,37.0,medium,29.6
leopard,2015,wet,Bushbuck,female,adult,37.0,medium,29.6
leopard,2015,wet,Bushbuck,female,adult,37.0,medium,29.6
leopard,2014,wet,Bushbuck,female,adult,37.0,medium,29.6
leopard,2015,wet,Bushbuck,female,adult,37.0,medium,29.6
leopard,2014,wet,Bushbuck,female,subadult,25.9,medium,20.7
leopard,2015,wet,Bushbuck,female,subadult,25.9,medium,20.7
leopard,2015,wet,Bushbuck,female,adult,37.0,medium,29.6
leopard,2015,wet,Bushbuck,female,adult,37.0,medium,29.6
leopard,2015,wet,Bushbuck,female,adult,37.0,medium,29.6
leopard,2015,wet,Bushbuck,female,adult,37.0,medium,29.6
leopard,2013,wet,Bushbuck,female,adult,37.0,medium,29.6
leopard,2015,wet,Bushbuck,female,subadult,25.9,medium,20.7
leopard,2015,wet,Bushbuck,female,adult,37.0,medium,29.6
leopard,2014,wet,Bushbuck,female,adult,37.0,medium,29.6
leopard,2015,wet,Bushbuck,female,adult,37.0,medium,29.6
leopard,2014,wet,Bushbuck,female,subadult,25.9,medium,20.7
leopard,2013,wet,Bushbuck,female,subadult,25.9,medium,20.7
leopard,2014,wet,Bushbuck,female,adult,37.0,medium,29.6
leopard,2015,wet,Bushbuck,female,adult,37.0,medium,29.6
leopard,2013,wet,Bushbuck,female,adult,37.0,medium,29.6
leopard,2014,wet,Bushbuck,female,subadult,25.9,medium,20.7
leopard,2015,wet,Bushbuck,female,adult,37.0,medium,29.6
leopard,2015,wet,Bushbuck,female,adult,37.0,medium,29.6
leopard,2014,wet,Bushbuck,female,adult,37.0,medium,29.6
leopard,2015,wet,Bushbuck,female,adult,37.0,medium,29.6
leopard,2015,wet,Bushbuck,female,adult,37.0,medium,29.6
leopard,2015,wet,Bushbuck,female,subadult,25.9,medium,20.7
leopard,2015,wet,Bushbuck,female,adult,37.0,medium,29.6
leopard,2015,dry,Bushbuck,male,subadult,35.0,medium,28.0
leopard,2013,dry,Bushbuck,male,subadult,35.0,medium,28.0
leopard,2014,dry,Bushbuck,male,adult,50.0,medium,40.0
leopard,2015,dry,Bushbuck,male,adult,50.0,medium,40.0
leopard,2015,dry,Bushbuck,male,subadult,35.0,medium,28.0
leopard,2015,dry,Bushbuck,male,subadult,35.0,medium,28.0
leopard,2015,dry,Bushbuck,male,adult,50.0,medium,40.0
leopard,2015,dry,Bushbuck,male,subadult,35.0,medium,28.0
leopard,2013,dry,Bushbuck,male,subadult,35.0,medium,28.0
leopard,2015,dry,Bushbuck,male,adult,50.0,medium,40.0
leopard,2015,dry,Bushbuck,male,adult,50.0,medium,40.0
leopard,2015,dry,Bushbuck,male,adult,50.0,medium,40.0
leopard,2014,dry,Bushbuck,male,adult,50.0,medium,40.0
leopard,2015,dry,Bushbuck,male,adult,50.0,medium,40.0
leopard,2013,dry,Bushbuck,male,adult,50.0,medium,40.0
leopard,2014,dry,Bushbuck,male,adult,50.0,medium,40.0
leopard,2013,dry,Bushbuck,male,adult,50.0,medium,40.0
leopard,2015,dry,Bushbuck,male,adult,50.0,medium,40.0
leopard,2015,dry,Bushbuck,male,subadult,35.0,medium,28.0
leopard,2013,dry,Bushbuck,male,adult,50.0,medium,40.0
leopard,2015,dry,Bushbuck,male,adult,50.0,medium,40.0
leopard,2015,dry,Bushbuck,male,adult,50.0,medium,40.0
